Unique.Plant.YR.ID,Unique.Plant.ID,Year,Row.ID,Species,ID,Leaf.Sample,Unique.Sample.ID,Leaf.wet.mass.g,Leaf.dry.mass.g,Leaf.thickness.mm,Image.ID,Leaf.area.mm2,Sample.Date,Bud_Num,Flower_Num,FL_2_dia,Total_Inflor_Height_cm,Fruit_Num,Infor_Culm_Num,TOTAL_Reproduction,Phen_Score.y,Seed_mass_g.x,Height.cm.y,Width.long.cm.y,Width.90.cm.y,Num.Stem_repo_Culm.y,Herb_Score.y,Above.wet.biomass.g,Below.wet.biomass.g,Root.depth.cm,Root.lateral.cm,Above.dry.biomass.g,Below.dry.biomass.g,stem.1.dia.1.mm,stem.1.dia.2.mm,stem.1.length.mm,stem.1.wet.mass.g,stem.1.dry.mass.g,stem.2.dia.1.mm,stem.2.dia.2.mm,stem.2.length.mm,stem.2.wet.mass.g,stem.2.dry.mass.g,root.seg.dia.1.mm,root.seg.dia.2.mm,root.seg.length.mm,root.seg.wet.mass.g,root.seg.dry.mass.g,total.SLA.leaves.wet.mass.g,total.SLA.leaves.dry.mass.g,total.above.wet.mass.g,total.above.dry.mass.g,total.below.wet.mass.g,total.below.dry.mass.g,Scientific_Name,Life.form,Plant.Family,Native.Exotic,Life.History,NOTES,lat,lon,elev,block,Neighbor.Density,Shannon.index,Diversity,stem.volume.mm3,stem.dry.density.g.mm3,root.volume.mm3,root.dry.density.g.mm3,LDMC.dry.wet,SLA
MATA_33_2020,MATA_33,2020,623,MATA,33,1,MATA.33.1,0.01,0.0044,0.19,2020_09_29/IMG_0027,0.311,9/16/20,1,0,NA,23.5,0,1,1,3,NA,26.1,20.6,17.8,1,1,14.13,0.67,5.5,3.4,4.9,0.26,3.92,3.48,25.23,0.319,0.145,NA,NA,NA,NA,NA,2.76,2.43,11.58,0.055,0.027,0.019,0.0088,14.468,5.0538,0.725,0.287,Machaeranthera.tanacetifolia,Forb,Asteraceae,Native,Either,NA,31.81552397,-111.510095,1081.305542,4,32,1.386294361,4,271.2755046,0.000534512,61.24535624,0.00044085,0.44,70.68181818
KAGR_1954_2020,KAGR_1954,2020,468,KAGR,1954,2,KAGR.1954.2,0.045,0.016,0.18,2020_09_12/IMG_0008,1.788,9/9/20,17,0,NA,NA,0,5,85,2,NA,5,3.5,2.7,5,0,0.23,0.023,5.6,0.8,0.081,0.009,1.2,1.13,5.74,0.007,0.0034,1.46,1.41,9.12,0.015,0.0042,0.72,0.8,7.9,0.005,0.002,0.096,0.031,0.333,0.1154,0.028,0.011,Kallstroemia.grandiflora,Forb,Zygophyllaceae,Native,Annual,NA,31.81542297,-111.510446,1073.378662,4,60,2.397895273,11,6.118622008,0.000555681,3.583803236,0.000558066,0.355555556,111.75
KAGR_1954_2020,KAGR_1954,2020,467,KAGR,1954,1,KAGR.1954.1,0.051,0.015,0.22,2020_09_12/IMG_0007,1.771,9/9/20,17,0,NA,NA,0,5,85,2,NA,5,3.5,2.7,5,0,0.23,0.023,5.6,0.8,0.081,0.009,1.2,1.13,5.74,0.007,0.0034,1.46,1.41,9.12,0.015,0.0042,0.72,0.8,7.9,0.005,0.002,0.096,0.031,0.333,0.1154,0.028,0.011,Kallstroemia.grandiflora,Forb,Zygophyllaceae,Native,Annual,NA,31.81542297,-111.510446,1073.378662,4,60,2.397895273,11,6.118622008,0.000555681,3.583803236,0.000558066,0.294117647,118.0666667
KAGR_926_2020,KAGR_926,2020,480,KAGR,926,1,KAGR.926.1,0.107,0.034,0.28,2020_09_14/IMG_0001,3.304,9/9/20,0,0,NA,NA,0,5,0,2,NA,6.7,7.2,4.3,5,1,0.88,0.058,6.1,5.2,0.21,0.019,1.84,1.85,7.03,0.017,0.0038,1.6,1.65,7.07,0.015,NA,1.2,1.1,8.5,0.013,0.005,0.198,0.06,1.095,0.2738,0.071,0.024,Kallstroemia.grandiflora,Forb,Zygophyllaceae,Native,Annual,NA,31.81715802,-111.510598,1070.527466,2,9,1.386294361,4,18.79481033,0.000202183,8.828857104,0.000566325,0.317757009,97.17647059
KAGR_926_2020,KAGR_926,2020,481,KAGR,926,2,KAGR.926.2,0.091,0.026,0.24,2020_09_14/IMG_0002,2.811,9/9/20,0,0,NA,NA,0,5,0,2,NA,6.7,7.2,4.3,5,1,0.88,0.058,6.1,5.2,0.21,0.019,1.84,1.85,7.03,0.017,0.0038,1.6,1.65,7.07,0.015,NA,1.2,1.1,8.5,0.013,0.005,0.198,0.06,1.095,0.2738,0.071,0.024,Kallstroemia.grandiflora,Forb,Zygophyllaceae,Native,Annual,NA,31.81715802,-111.510598,1070.527466,2,9,1.386294361,4,18.79481033,0.000202183,8.828857104,0.000566325,0.285714286,108.1153846
MATA_1A_2021,MATA_1A,2021,336,MATA,1A,2,MATA_1A_2,0.043,0.0145,0.15,IMG016,2.075,8/19/21,24,1,30,180,0,1,25,4,NA,17.3,18,15.5,1,1,3.6,0.188,6.13,2.41,1.2,0.065,1.87,2.07,24.2,0.085,0.0408,NA,NA,NA,NA,NA,1.67,1.87,12.31,0.027,0.0137,0.093,0.0287,3.778,1.2695,0.215,0.0787,Machaeranthera.tanacetifolia,Forb,Asteraceae,Native,Either,NA,31.81564299,-111.510931,1078.300659,7,61,2.36938212,11,73.76285192,0.000553124,30.28966478,0.000452299,0.337209302,143.1034483
MATA_1A_2021,MATA_1A,2021,335,MATA,1A,1,MATA_1A_1,0.05,0.0142,0.19,IMG015,2.543,8/19/21,24,1,30,180,0,1,25,4,NA,17.3,18,15.5,1,1,3.6,0.188,6.13,2.41,1.2,0.065,1.87,2.07,24.2,0.085,0.0408,NA,NA,NA,NA,NA,1.67,1.87,12.31,0.027,0.0137,0.093,0.0287,3.778,1.2695,0.215,0.0787,Machaeranthera.tanacetifolia,Forb,Asteraceae,Native,Either,NA,31.81564299,-111.510931,1078.300659,7,61,2.36938212,11,73.76285192,0.000553124,30.28966478,0.000452299,0.284,179.084507
MATA_917_2020,MATA_917,2020,622,MATA,917,2,MATA.917.2,0.009,0.0049,0.24,2020_09_29/IMG_0026,0.299,9/16/20,0,0,NA,NA,0,1,0,2,NA,14.2,5.8,4.9,1,3,3.07,0.53,6.3,4.9,0.95,0.13,2.69,2.77,39.98,0.308,0.124,NA,NA,NA,NA,NA,2.11,2.36,16.6,0.108,0.036,0.011,0.0061,3.389,1.0801,0.638,0.166,Machaeranthera.tanacetifolia,Forb,Asteraceae,Native,Either,NA,31.81566797,-111.511802,1083.118896,3,5,0.693147181,2,234.022689,0.000529863,65.12579298,0.000552776,0.544444444,61.02040816
MATA_917_2020,MATA_917,2020,621,MATA,917,1,MATA.917.1,0.002,0.0012,0.22,2020_09_29/IMG_0025,0.095,9/16/20,0,0,NA,NA,0,1,0,2,NA,14.2,5.8,4.9,1,3,3.07,0.53,6.3,4.9,0.95,0.13,2.69,2.77,39.98,0.308,0.124,NA,NA,NA,NA,NA,2.11,2.36,16.6,0.108,0.036,0.011,0.0061,3.389,1.0801,0.638,0.166,Machaeranthera.tanacetifolia,Forb,Asteraceae,Native,Either,NA,31.81566797,-111.511802,1083.118896,3,5,0.693147181,2,234.022689,0.000529863,65.12579298,0.000552776,0.6,79.16666667
AMCO_1949_2020,AMCO_1949,2020,491,AMCO,1949,2,AMCO.1949.2,0.21,0.081,0.49,2020_09_14/IMG_0012,6.443,9/9/20,0,0,NA,NA,0,1,0,2,NA,9.9,7.3,5.4,1,0,0.88,0.51,6.4,4.7,0.38,0.22,2,1.9,8.1,0.023,0.009,NA,NA,NA,NA,NA,2.9,2,6.9,0.027,0.015,0.313,0.117,1.216,0.506,0.537,0.235,Ambrosia.confertiflora,Forb,Asteraceae,Native,Perennial,NA,31.81544501,-111.510385,1071.721924,4,44,2.48490665,12,24.19045978,0.000372047,32.52903208,0.000461127,0.385714286,79.54320988
AMCO_1949_2020,AMCO_1949,2020,490,AMCO,1949,1,AMCO.1949.1,0.103,0.036,0.47,2020_09_14/IMG_0011,3.002,9/9/20,0,0,NA,NA,0,1,0,2,NA,9.9,7.3,5.4,1,0,0.88,0.51,6.4,4.7,0.38,0.22,2,1.9,8.1,0.023,0.009,NA,NA,NA,NA,NA,2.9,2,6.9,0.027,0.015,0.313,0.117,1.216,0.506,0.537,0.235,Ambrosia.confertiflora,Forb,Asteraceae,Native,Perennial,NA,31.81544501,-111.510385,1071.721924,4,44,2.48490665,12,24.19045978,0.000372047,32.52903208,0.000461127,0.349514563,83.38888889
SIDA_900_2020,SIDA_900,2020,709,SIDA,900,1,SIDA.900.1,0.019,0.005,0.28,2020_10_05/IMG_0003,0.517,9/23/20,0,0,NA,NA,0,6,0,2,NA,7.6,7.5,6,6,3,0.56,0.53,6.5,3.4,0.26,0.22,0.72,0.73,21,0.013,0.006,NA,NA,NA,NA,NA,3.07,3.12,18.4,0.092,0.046,0.045,0.011,0.618,0.277,0.622,0.266,Sida.abutifolia,Forb,Malvaceae,Exotic,Either,NA,31.81556404,-111.510947,1084.021606,7,26,1.945910149,7,8.669323102,0.000692096,138.429615,0.000332299,0.263157895,103.4
SIDA_900_2020,SIDA_900,2020,710,SIDA,900,2,SIDA.900.2,0.026,0.006,0.33,2020_10_05/IMG_0004,0.718,9/23/20,0,0,NA,NA,0,6,0,2,NA,7.6,7.5,6,6,3,0.56,0.53,6.5,3.4,0.26,0.22,0.72,0.73,21,0.013,0.006,NA,NA,NA,NA,NA,3.07,3.12,18.4,0.092,0.046,0.045,0.011,0.618,0.277,0.622,0.266,Sida.abutifolia,Forb,Malvaceae,Exotic,Either,NA,31.81556404,-111.510947,1084.021606,7,26,1.945910149,7,8.669323102,0.000692096,138.429615,0.000332299,0.230769231,119.6666667
KAGR_1964_2020,KAGR_1964,2020,535,KAGR,1964,1,KAGR.1964.1,0.06,0.014,0.24,2020_09_15/IMG_0020,1.826,9/9/20,0,0,NA,NA,0,5,0,2,NA,3.3,6,3.9,5,3,0.45,0.063,6.6,2.3,0.11,0.019,1.42,1.84,5.49,0.01,0.0025,NA,NA,NA,NA,NA,1.07,0.92,6.9,0.005,0.0026,0.104,0.02,0.564,0.1325,0.068,0.0216,Kallstroemia.grandiflora,Forb,Zygophyllaceae,Native,Annual,NA,31.81570703,-111.509979,1073.646484,4,23,1.791759469,6,11.45611685,0.000218224,5.365190335,0.000484605,0.233333333,130.4285714
KAGR_1964_2020,KAGR_1964,2020,536,KAGR,1964,2,KAGR.1964.2,0.044,0.006,0.24,2020_09_15/IMG_0021,1.203,9/9/20,0,0,NA,NA,0,5,0,2,NA,3.3,6,3.9,5,3,0.45,0.063,6.6,2.3,0.11,0.019,1.42,1.84,5.49,0.01,0.0025,NA,NA,NA,NA,NA,1.07,0.92,6.9,0.005,0.0026,0.104,0.02,0.564,0.1325,0.068,0.0216,Kallstroemia.grandiflora,Forb,Zygophyllaceae,Native,Annual,NA,31.81570703,-111.509979,1073.646484,4,23,1.791759469,6,11.45611685,0.000218224,5.365190335,0.000484605,0.136363636,200.5
MATA_884_2020,MATA_884,2020,645,MATA,884,1,MATA.884.1,0.011,0.006,0.27,2020_09_29/IMG_0045,0.329,9/15/20,0,0,NA,NA,0,1,0,2,NA,12.2,10.5,10,1,1,8.89,0.77,6.6,3.1,2.69,0.19,3.79,3.55,25.25,0.313,0.12,NA,NA,NA,NA,NA,2.73,2.99,10.98,0.064,0.023,0.131,0.011,9.334,2.821,0.834,0.213,Machaeranthera.tanacetifolia,Forb,Asteraceae,Native,Either,NA,31.81551601,-111.511005,1087.428589,7,24,1.386294361,4,267.1058454,0.00044926,70.53818613,0.000326065,0.545454545,54.83333333
MATA_884_2020,MATA_884,2020,646,MATA,884,2,MATA.884.2,0.12,0.005,0.3,2020_09_29/IMG_0046,0.341,9/15/20,0,0,NA,NA,0,1,0,2,NA,12.2,10.5,10,1,1,8.89,0.77,6.6,3.1,2.69,0.19,3.79,3.55,25.25,0.313,0.12,NA,NA,NA,NA,NA,2.73,2.99,10.98,0.064,0.023,0.131,0.011,9.334,2.821,0.834,0.213,Machaeranthera.tanacetifolia,Forb,Asteraceae,Native,Either,NA,31.81551601,-111.511005,1087.428589,7,24,1.386294361,4,267.1058454,0.00044926,70.53818613,0.000326065,0.041666667,68.2
HETERO_1953B_2021,HETERO_1953B,2021,234,HETERO,1953B,1,HETERO_1953B_1,0.051,0.0288,0.11,IMG307,5.331,9/22/21,0,0,0,490,0,0,0,3,NA,52,20,17,1 (In boot),1,0.8,0.3,6.7,10.5,0.6,0.2,1.03,1.77,37.12,0.062,0.0269,NA,NA,NA,NA,NA,0.54,0.56,43.32,0.008,0.0062,0.075,0.04,0.937,0.6669,0.308,0.2062,Heteropogon.contortus,Grass,Poaceae,Native,Perennial,NA,NA,NA,NA,NA,33,2.63905733,14,57.14180046,0.000470759,10.29209315,0.000602404,0.564705882,185.1041667
HETERO_1953B_2021,HETERO_1953B,2021,235,HETERO,1953B,2,HETERO_1953B_2,0.024,0.0112,0.09,IMG308,2.337,9/22/21,0,0,0,490,0,0,0,3,NA,52,20,17,1 (In boot),1,0.8,0.3,6.7,10.5,0.6,0.2,1.03,1.77,37.12,0.062,0.0269,NA,NA,NA,NA,NA,0.54,0.56,43.32,0.008,0.0062,0.075,0.04,0.937,0.6669,0.308,0.2062,Heteropogon.contortus,Grass,Poaceae,Native,Perennial,NA,NA,NA,NA,NA,33,2.63905733,14,57.14180046,0.000470759,10.29209315,0.000602404,0.466666667,208.6607143
SIDA_1943_2020,SIDA_1943,2020,795,SIDA,1943,1,SIDA.1943.1,0.011,0.0038,0.24,2020_10_07/IMG_0025,0.392,9/26/20,0,0,NA,3,3,5,15,6,NA,3.9,8.5,4.4,5,4,0.5,0.91,7,4.2,0.23,0.47,0.99,0.99,10.43,0.008,0.005,NA,NA,NA,NA,NA,2.21,2.21,11.93,0.052,0.028,0.021,0.0073,0.529,0.2423,0.962,0.498,Sida.abutifolia,Forb,Malvaceae,Exotic,Either,NA,NA,NA,NA,NA,22,1.386294361,4,8.028687958,0.000622767,45.76304062,0.000611847,0.345454545,103.1578947
SIDA_1943_2020,SIDA_1943,2020,796,SIDA,1943,2,SIDA.1943.2,0.01,0.0035,0.24,2020_10_07/IMG_0026,0.387,9/26/20,0,0,NA,3,3,5,15,6,NA,3.9,8.5,4.4,5,4,0.5,0.91,7,4.2,0.23,0.47,0.99,0.99,10.43,0.008,0.005,NA,NA,NA,NA,NA,2.21,2.21,11.93,0.052,0.028,0.021,0.0073,0.529,0.2423,0.962,0.498,Sida.abutifolia,Forb,Malvaceae,Exotic,Either,NA,NA,NA,NA,NA,22,1.386294361,4,8.028687958,0.000622767,45.76304062,0.000611847,0.35,110.5714286
KAGR_208_2021,KAGR_208,2021,289,KAGR,208,2,KAGR_208_2,0.394,0.0696,0.1,KAGR208L2,15.139,8/5/21,23,3,43,400,2,1,28,5,NA,40.5,41.5,35.2,4,1,20.2,0.577,7,13.6,3.8,0.1859,3.59,4.48,61.44,0.534,0.1105,NA,NA,NA,NA,NA,2.78,1.8,15.27,0.077,0.0261,1.172,0.2124,21.906,4.1229,0.654,0.212,Kallstroemia.grandiflora,Forb,Zygophyllaceae,Native,Annual,NA,31.81715299,-111.511523,1076.126953,6,39,2.48490665,12,785.6482844,0.000140648,62.89264839,0.000414993,0.176649746,217.5143678
KAGR_208_2021,KAGR_208,2021,290,KAGR,208,2,KAGR_208_2,0.394,0.0696,0.1,KAGR208L2,15.139,8/5/21,23,3,43,400,2,1,28,5,NA,40.5,41.5,35.2,4,1,20.2,0.577,7,13.6,3.8,0.1859,3.59,4.48,61.44,0.534,0.1105,NA,NA,NA,NA,NA,2.78,1.8,15.27,0.077,0.0261,1.172,0.2124,21.906,4.1229,0.654,0.212,Kallstroemia.grandiflora,Forb,Zygophyllaceae,Native,Annual,NA,31.81715299,-111.511523,1076.126953,6,39,2.48490665,12,785.6482844,0.000140648,62.89264839,0.000414993,0.176649746,217.5143678
KAGR_208_2021,KAGR_208,2021,288,KAGR,208,1,KAGR_208_1,0.192,0.0366,0.12,KAGR208L1,8.158,8/5/21,23,3,43,400,2,1,28,5,NA,40.5,41.5,35.2,4,1,20.2,0.577,7,13.6,3.8,0.1859,3.59,4.48,61.44,0.534,0.1105,NA,NA,NA,NA,NA,2.78,1.8,15.27,0.077,0.0261,1.172,0.2124,21.906,4.1229,0.654,0.212,Kallstroemia.grandiflora,Forb,Zygophyllaceae,Native,Annual,NA,31.81715299,-111.511523,1076.126953,6,39,2.48490665,12,785.6482844,0.000140648,62.89264839,0.000414993,0.190625,222.8961749
