Row.ID,Date,Plot,Species,Species_Code,Unique.Plant.ID,Life_Form,Per_Cover,Density,Per_Bud,Per_FL,Per_Fru,Per_Bare,Pre_Litter,NOTES
1177,9/21/21,AMCO.13A,,MOVE,AMCO.13A,FORB,10,15,,0,100,20,70,
1178,9/21/21,AMCO.13A,,STINKGRASS,AMCO.13A,GRASS,5,1,,0,100,20,70,
1179,9/21/21,AMCO.13A,,PAVI,AMCO.13A,GRASS,8,1,,0,100,20,70,
194,9/22/21,AMCO.14B,,MATA,AMCO.14B,FORB,3,3,,0,100,80,10,
195,9/22/21,AMCO.14B,,AMCO,AMCO.14B,FORB,12,10,,0,0,80,10,
196,9/22/21,AMCO.14B,,ERLE,AMCO.14B,GRASS,8,6,,0,100,80,10,
197,9/22/21,AMCO.14B,,XAGR,AMCO.14B,FORB,10,9,,0,100,80,10,
198,9/22/21,AMCO.14B,,ERAB,AMCO.14B,FORB,3,1,,0,100,80,10,
199,9/22/21,AMCO.14B,,MOVE,AMCO.14B,FORB,1,4,,0,100,80,10,
200,9/22/21,AMCO.14B,,POOL,AMCO.14B,FORB,2,1,,0,100,80,10,
201,9/22/21,AMCO.14B,,BOAR,AMCO.14B,GRASS,2,3,,0,100,80,10,
202,9/22/21,AMCO.14B,,BOER,AMCO.14B,GRASS,2,2,,0,100,80,10,
217,9/22/21,AMCO.15B,,AMCO,AMCO.15B,FORB,8,4,,0,0,80,10,
218,9/22/21,AMCO.15B,,MATA,AMCO.15B,FORB,5,3,,0,100,80,10,
219,9/22/21,AMCO.15B,,BOER,AMCO.15B,GRASS,2,1,,0,100,80,10,
220,9/22/21,AMCO.15B,,ERAB,AMCO.15B,FORB,2,1,,0,100,80,10,
221,9/22/21,AMCO.15B,,ERLE,AMCO.15B,GRASS,10,4,,0,100,80,10,
222,9/22/21,AMCO.15B,,BOAR,AMCO.15B,GRASS,20,10,,0,100,80,10,
223,9/22/21,AMCO.15B,,PO SHRUBBY,AMCO.15B,FORB,5,1,,0,100,80,10,
1273,9/15/21,AMCO.1A,,ERLE,AMCO.1A,GRASS,5,5,,0,100,1,98,
1274,9/15/21,AMCO.1A,,AMPA,AMCO.1A,FORB,3,3,,0,100,1,98,
1275,9/15/21,AMCO.1A,,AMCO,AMCO.1A,FORB,10,12,,100,100,1,98,
1276,9/15/21,AMCO.1A,,ANNUAL MARTYNACEA,AMCO.1A,FORB,10,3,,0,100,1,98,
1277,9/15/21,AMCO.1A,,URAR,AMCO.1A,GRASS,8,5,,0,100,1,98,
1278,9/15/21,AMCO.1A,,BOAR,AMCO.1A,GRASS,3,4,,0,100,1,98,
1279,9/15/21,AMCO.1A,,SIDA,AMCO.1A,FORB,2,4,,0,100,1,98,
1280,9/15/21,AMCO.1A,,MOVE,AMCO.1A,FORB,40,50,,0,100,1,98,
1281,9/15/21,AMCO.1A,,DITAXIS,AMCO.1A,FORB,1,1,,0,100,1,98,
1282,9/15/21,AMCO.1A,,POOL,AMCO.1A,FORB,2,1,,0,100,1,98,
1283,9/15/21,AMCO.1A,,TILA,AMCO.1A,FORB,1,2,,0,100,1,98,
1298,9/15/21,AMCO.2A,,AMCO,AMCO.2A,FORB,25,4,,100,100,30,60,
1299,9/15/21,AMCO.2A,,SAIB,AMCO.2A,FORB,20,6,,100,100,30,60,
1300,9/15/21,AMCO.2A,,ERLE,AMCO.2A,GRASS,10,3,,0,100,30,60,
1301,9/15/21,AMCO.2A,,CHFR,AMCO.2A,FORB,10,3,,0,100,30,60,
1302,9/15/21,AMCO.2A,,DITAXIS,AMCO.2A,FORB,2,2,,0,100,30,60,
1303,9/15/21,AMCO.2A,,KAGR,AMCO.2A,FORB,20,4,,0,100,30,60,
1304,9/15/21,AMCO.2A,,MESQUITE,AMCO.2A,SHRUB,1,1,,0,100,30,60,
1218,9/17/21,AMCO.4B,,AMCO,AMCO.4B,FORB,8,6,,100,100,15,75,
1219,9/17/21,AMCO.4B,,URAR,AMCO.4B,GRASS,4,3,,0,100,15,75,
1220,9/17/21,AMCO.4B,,ERLE,AMCO.4B,GRASS,8,3,,0,100,15,75,
1221,9/17/21,AMCO.4B,,ANNUAL MARTYNACEA,AMCO.4B,FORB,5,1,,100,100,15,75,
1222,9/17/21,AMCO.4B,,DICA,AMCO.4B,GRASS,2,1,,0,100,15,75,
1223,9/17/21,AMCO.4B,,MOVE,AMCO.4B,FORB,30,30,,0,100,15,75,
1224,9/17/21,AMCO.4B,,TILA,AMCO.4B,FORB,4,2,,0,100,15,75,
1225,9/17/21,AMCO.4B,,SIDA,AMCO.4B,FORB,2,2,,0,100,15,75,
1226,9/17/21,AMCO.4B,,SAIB,AMCO.4B,FORB,0.5,1,,100,100,15,75,
1237,9/17/21,AMCO.5B,,AMCO,AMCO.5B,FORB,4,2,,100,100,3,95,
1238,9/17/21,AMCO.5B,,SAIB,AMCO.5B,FORB,4,3,,100,100,3,95,
1239,9/17/21,AMCO.5B,,SIDA,AMCO.5B,FORB,2,2,,0,100,3,95,
1240,9/17/21,AMCO.5B,,IPOMEA INDIGO,AMCO.5B,FORB,8,3,,0,100,3,95,
1241,9/17/21,AMCO.5B,,PAVI,AMCO.5B,GRASS,3,3,,0,100,3,95,
1242,9/17/21,AMCO.5B,,ERLE,AMCO.5B,GRASS,3,2,,0,100,3,95,
1243,9/17/21,AMCO.5B,,AMPA,AMCO.5B,FORB,12,5,,0,100,3,95,
827,9/18/21,AMCO.6A,,AMCO,AMCO.6A,FORB,3,2,,0,0,20,60,
828,9/18/21,AMCO.6A,,IPOMEA INDIGO,AMCO.6A,FORB,3,3,,0,100,20,60,
829,9/18/21,AMCO.6A,,SAIB,AMCO.6A,FORB,13,1,,100,100,20,60,
830,9/18/21,AMCO.6A,,BOERHAVIA SP.,AMCO.6A,FORB,20,4,,0,100,20,60,
831,9/18/21,AMCO.7A,,AMCO,AMCO.7A,FORB,8,3,,100,100,3,95,
832,9/18/21,AMCO.7A,,STINKGRASS,AMCO.7A,GRASS,3,1,,0,100,3,95,
833,9/18/21,AMCO.7A,,IPOMEA INDIGO,AMCO.7A,FORB,3,3,,0,100,3,95,
834,9/18/21,AMCO.7A,,SAIB,AMCO.7A,FORB,4,2,,100,100,3,95,
835,9/18/21,AMCO.7A,,SIDA,AMCO.7A,FORB,3,3,,0,100,3,95,
836,9/18/21,AMCO.7A,,GUSA,AMCO.7A,SHRUB,13,1,,100,0,3,95,
837,9/18/21,AMCO.7A,,DICA,AMCO.7A,GRASS,4,3,,0,100,3,95,
838,9/18/21,AMCO.7A,,ARTE,AMCO.7A,GRASS,3,1,,0,100,3,95,
868,9/18/21,AMCO.8A,,ERLE,AMCO.8A,GRASS,10,6,,0,100,50,45,
869,9/18/21,AMCO.8A,,AMCO,AMCO.8A,FORB,20,5,,100,0,50,45,
870,9/18/21,AMCO.8A,,SIDA,AMCO.8A,FORB,3,2,,0,100,50,45,
871,9/18/21,AMCO.8A,,GUSA,AMCO.8A,SHRUB,3,1,,100,0,50,45,
872,9/18/21,AMCO.8A,,MOVE,AMCO.8A,FORB,3,10,,0,100,50,45,
873,9/18/21,AMCO.9A,,AMCO,AMCO.9A,FORB,8,2,,100,0,80,8,
874,9/18/21,AMCO.9A,,BOAR,AMCO.9A,GRASS,12,6,,0,100,80,8,
875,9/18/21,AMCO.9A,,MATA,AMCO.9A,FORB,5,1,,100,100,80,8,
876,9/18/21,AMCO.9A,,ERLE,AMCO.9A,GRASS,5,3,,0,100,80,8,
877,9/18/21,AMCO.9A,,MOVE,AMCO.9A,FORB,1,2,,0,100,80,8,
878,9/18/21,AMCO.9A,,POOL,AMCO.9A,FORB,3,3,,0,0,80,8,
879,9/18/21,AMCO.9A,,BORO,AMCO.9A,GRASS,5,2,,0,100,80,8,
1311,9/15/21,AMCO.S1000A3A,,SAIB,AMCO.S1000A3A,FORB,30,3,,100,100,20,70,
1312,9/15/21,AMCO.S1000A3A,,AMCO,AMCO.S1000A3A,FORB,15,2,,100,100,20,70,
1313,9/15/21,AMCO.S1000A3A,,TILA,AMCO.S1000A3A,FORB,15,3,,0,100,20,70,
1314,9/15/21,AMCO.S1000A3A,,CHFR,AMCO.S1000A3A,FORB,10,2,,0,100,20,70,
1315,9/15/21,AMCO.S1000A3A,,KAGR,AMCO.S1000A3A,FORB,30,4,,0,100,20,70,
1316,9/15/21,AMCO.S1000A3A,,ERLE,AMCO.S1000A3A,GRASS,25,4,,0,100,20,70,
1001,8/31/21,BOCO.10A,,CHVI,BOCO.10A,GRASS,1,1,,100,0,95,3,
1002,8/31/21,BOCO.10A,,BOCO,BOCO.10A,FORB,1,1,,100,100,95,3,
1003,8/31/21,BOCO.10A,,MOVE,BOCO.10A,FORB,1,3,,0,100,95,3,
1004,8/31/21,BOCO.10A,,TILA,BOCO.10A,FORB,2,2,,100,100,95,3,
1005,8/31/21,BOCO.10A,,KAGR,BOCO.10A,FORB,3,1,,0,100,95,3,
1006,8/31/21,BOCO.10A,,STINKGRASS,BOCO.10A,GRASS,1,1,,100,100,95,3,
1007,8/31/21,BOCO.10A,,ERLE,BOCO.10A,GRASS,1,2,,50,50,95,3,
1072,9/2/21,BOCO.11B,,POUM ,BOCO.11B,FORB,1,1,,0,100,6,90,
1073,9/2/21,BOCO.11B,,BOCO,BOCO.11B,FORB,10,3,,66.6,66.6,6,90,
1074,9/2/21,BOCO.11B,,AMCO,BOCO.11B,FORB,10,6,,0,0,6,90,
1075,9/2/21,BOCO.11B,,ERLE,BOCO.11B,GRASS,8,5,,100,100,6,90,
1076,9/2/21,BOCO.11B,,URAR,BOCO.11B,GRASS,8,4,,50,100,6,90,
1077,9/2/21,BOCO.11B,,MOVE,BOCO.11B,FORB,3,8,,0,100,6,90,
659,9/3/21,BOCO.12A,,BOCO,BOCO.12A,FORB,6,6,,100,100,75,15,
660,9/3/21,BOCO.12A,,DICA,BOCO.12A,GRASS,2,1,,100,100,75,15,
661,9/3/21,BOCO.12A,,ERLE,BOCO.12A,GRASS,5,5,,100,100,75,15,
662,9/3/21,BOCO.12A,,SAIB,BOCO.12A,FORB,6,2,,100,0,75,15,
663,9/3/21,BOCO.12A,,POOL,BOCO.12A,FORB,6,19,,0,0,75,15,
664,9/3/21,BOCO.12A,,CHFR,BOCO.12A,FORB,1,1,,100,100,75,15,
665,9/3/21,BOCO.12A,,TILA,BOCO.12A,FORB,2,1,,100,100,75,15,
666,9/3/21,BOCO.12A,,BOAR,BOCO.12A,GRASS,6,4,,0,100,75,15,
667,9/3/21,BOCO.12A,,SIDA,BOCO.12A,FORB,1,1,,0,100,75,15,
668,9/3/21,BOCO.12A,,SAWBLADE,BOCO.12A,FORB,1,1,,100,100,75,15,
510,9/8/21,BOCO.14B,,ERLE,BOCO.14B,GRASS,10,6,,100,100,15,75,
511,9/8/21,BOCO.14B,,SIDA,BOCO.14B,FORB,3,3,,0,100,15,75,
512,9/8/21,BOCO.14B,,BOCO,BOCO.14B,FORB,5,4,,100,100,15,75,
513,9/8/21,BOCO.14B,,AMPA,BOCO.14B,FORB,40,13,,0,100,15,75,
514,9/8/21,BOCO.14B,,AMCO,BOCO.14B,FORB,5,3,,0,0,15,75,
515,9/8/21,BOCO.14B,,POUM,BOCO.14B,FORB,1,1,,0,100,15,75,
516,9/8/21,BOCO.14B,,MOVE,BOCO.14B,FORB,20,30,,0,100,15,75,
517,9/8/21,BOCO.14B,,URAR,BOCO.14B,GRASS,1,2,,0,100,15,75,
518,9/8/21,BOCO.14B,,SIDA #2,BOCO.14B,FORB,2,1,,100,100,15,75,
519,9/8/21,BOCO.14B,,EVAZ,BOCO.14B,FORB,2,3,,100,100,15,75,
541,9/8/21,BOCO.15B,,BOCO,BOCO.15B,FORB,7,6,,100,100,30,60,
542,9/8/21,BOCO.15B,,URAR,BOCO.15B,GRASS,1,1,,0,100,30,60,
543,9/8/21,BOCO.15B,,AMPA,BOCO.15B,FORB,5,6,,16.6,100,30,60,
544,9/8/21,BOCO.15B,,AMCO,BOCO.15B,FORB,3,4,,0,0,30,60,
545,9/8/21,BOCO.15B,,TILA,BOCO.15B,FORB,3,3,,100,100,30,60,
546,9/8/21,BOCO.15B,,GUSA,BOCO.15B,SHRUB,8,1,,0,0,30,60,
547,9/8/21,BOCO.15B,,ERLE,BOCO.15B,GRASS,10,4,,100,100,30,60,
548,9/8/21,BOCO.15B,,SIDA,BOCO.15B,FORB,0.5,1,,0,0,30,60,
549,9/8/21,BOCO.15B,,PAVI,BOCO.15B,GRASS,1,2,,0,100,30,60,
550,9/8/21,BOCO.15B,,ARTE,BOCO.15B,GRASS,0.5,1,,100,100,30,60,
551,9/8/21,BOCO.15B,,XAGR,BOCO.15B,FORB,1,1,,100,100,30,60,
967,8/31/21,BOCO.1998,,IPOMEA INDIGO,BOCO.1998,FORB,50,2,,100,0,10,90,
968,8/31/21,BOCO.1998,,BOCO,BOCO.1998,FORB,20,3,,100,100,10,90,
969,8/31/21,BOCO.1998,,SAIB,BOCO.1998,FORB,2,2,,100,0,10,90,
970,8/31/21,BOCO.1998,,URAR,BOCO.1998,GRASS,0.5,1,,100,100,10,90,
971,8/31/21,BOCO.1998,,KAGR,BOCO.1998,FORB,0.5,1,,0,100,10,90,
972,8/31/21,BOCO.1998,,AMCO,BOCO.1998,FORB,2,2,,0,0,10,90,
973,8/31/21,BOCO.1998,,TILA,BOCO.1998,FORB,2,3,,100,100,10,90,
1519,8/20/21,BOCO.2A,,BOCO,BOCO.2A,FORB,5,2,,100,100,15,60,
1520,8/20/21,BOCO.2A,,URAR?,BOCO.2A,GRASS,5,10,,100,100,15,60,
1521,8/20/21,BOCO.2A,,KAGR,BOCO.2A,FORB,15,3,,0,100,15,60,
1522,8/20/21,BOCO.2A,,AMCO,BOCO.2A,FORB,25,9,,0,0,15,60,
1523,8/20/21,BOCO.2A,,UNK OPP LEAF WHITE FLOWER HEAD,BOCO.2A,FORB,10,3,,100,0,15,60,
1524,8/20/21,BOCO.2A,,ERLE,BOCO.2A,GRASS,8,6,,100,0,15,60,
1525,8/20/21,BOCO.2A,,SIDA,BOCO.2A,FORB,12,19,,30,10,15,60,
1526,8/20/21,BOCO.2A,,POUM,BOCO.2A,FORB,5,6,,0,100,15,60,
1527,8/20/21,BOCO.2A,,MATA,BOCO.2A,FORB,5,5,,?,0,15,60,
1528,8/20/21,BOCO.2A,,BOAR,BOCO.2A,GRASS,5,5,,100,0,15,60,
1529,8/20/21,BOCO.2A,,UNK GRASS MANY SPIKES,BOCO.2A,GRASS,2,1,,100,0,15,60,
1530,8/20/21,BOCO.2A,,CHLORIS VIG,BOCO.2A,GRASS,2,1,,100,0,15,60,
1531,8/20/21,BOCO.2A,,XAGR,BOCO.2A,FORB,1,1,,100,0,15,60,
1532,8/20/21,BOCO.2A,,POOL,BOCO.2A,FORB,3,1,,0,0,15,60,
1533,8/20/21,BOCO.3A,,AMPA,BOCO.3A,FORB,20,25,,100,100,,,
1534,8/20/21,BOCO.3A,,BOCO,BOCO.3A,FORB,3,2,,50,50,,,
1535,8/20/21,BOCO.3A,,ERLE,BOCO.3A,GRASS,5,3,,100,0,,,
1536,8/20/21,BOCO.3A,,AMCO,BOCO.3A,FORB,12,8,,0,0,,,
1537,8/20/21,BOCO.3A,,URAR?,BOCO.3A,GRASS,3,2,,100,100,,,
1538,8/20/21,BOCO.3A,,FAKE SIDA,BOCO.3A,FORB,3,3,,100,100,,,
1539,8/20/21,BOCO.3A,,EVAZ,BOCO.3A,FORB,2,3,,0,0,,,
1540,8/20/21,BOCO.3A,,SIDA,BOCO.3A,FORB,2,8,,0,100,,,
1541,8/20/21,BOCO.3A,,UNK OPP LEAF WHITE FL HEAD,BOCO.3A,FORB,6,2,,100,0,,,
1542,8/20/21,BOCO.3A,,POUM,BOCO.3A,FORB,3,3,,0,100,,,
1543,8/20/21,BOCO.3A,,TILA,BOCO.3A,FORB,3,1,,100,0,,,
1544,8/20/21,BOCO.3A,,UNK GRASS MANY SPIKES,BOCO.3A,GRASS,1,3,,3.3,0,,,
1545,8/20/21,BOCO.3A,,XAGR,BOCO.3A,FORB,1,1,,0,0,,,
1546,8/20/21,BOCO.3A,,PO SHRUBBY,BOCO.3A,FORB,1,2,,0,0,,,
1547,8/20/21,BOCO.3A,,STINKGRASS,BOCO.3A,GRASS,1,1,,100,0,,,
1548,8/20/21,BOCO.3A,,MOVE,BOCO.3A,FORB,3,15,,0,100,,,
1549,8/20/21,BOCO.3A,,BOAR,BOCO.3A,GRASS,2,5,,100,0,,,
1550,8/20/21,BOCO.3A,,UNK EUPHORB,BOCO.3A,FORB,1,1,,0,0,,,
1551,8/20/21,BOCO.3A,,EUHYSM,BOCO.3A,FORB,1,1,,0,100,,,
1387,8/19/21,BOCO.4,,ERLE,BOCO.4,GRASS,10,12,,100,0,5,50,
1388,8/19/21,BOCO.4,,DICA,BOCO.4,GRASS,5,2,,100,100,5,50,
1389,8/19/21,BOCO.4,,AMPA,BOCO.4,FORB,5,3,,100,0,5,50,
1390,8/19/21,BOCO.4,,TILA,BOCO.4,FORB,5,2,,100,0,5,50,
1391,8/19/21,BOCO.4,,BOCO,BOCO.4,FORB,25,4,,100,100,5,50,
1392,8/19/21,BOCO.4,,MOVE,BOCO.4,FORB,30,50,,0,100,5,50,
1393,8/19/21,BOCO.4,,KAGR,BOCO.4,FORB,15,1,,100,100,5,50,
1394,8/19/21,BOCO.4,,ARPU,BOCO.4,GRASS,2,1,,100,0,5,50,
1395,8/19/21,BOCO.4,,POOL,BOCO.4,FORB,5,9,,0,100,5,50,
1396,8/19/21,BOCO.4,,SIDA,BOCO.4,FORB,2,5,,0,50,5,50,
1397,8/19/21,BOCO.4,,CHFR,BOCO.4,FORB,2,1,,100,0,5,50,
1615,8/20/21,BOCO.5A,,ERLE,BOCO.5A,GRASS,10,4,,100,100,50,30,
1616,8/20/21,BOCO.5A,,BOCO,BOCO.5A,FORB,8,3,,66.6,66.6,50,30,
1617,8/20/21,BOCO.5A,,BUFFEL LIKE,BOCO.5A,GRASS,6,2,,100,0,50,30,
1618,8/20/21,BOCO.5A,,SIDA,BOCO.5A,FORB,4,10,,30,0,50,30,
1619,8/20/21,BOCO.5A,,PO SHRUBBY,BOCO.5A,FORB,1,1,,100,0,50,30,
1620,8/20/21,BOCO.5A,,IPOMEA PINK,BOCO.5A,FORB,20,20,,100,0,50,30,
1621,8/20/21,BOCO.5A,,EVAZ,BOCO.5A,FORB,1,1,,100,0,50,30,
1622,8/20/21,BOCO.5A,,CURLY,BOCO.5A,GRASS,2,1,,100,0,50,30,
1623,8/20/21,BOCO.5A,,MATA,BOCO.5A,FORB,1,1,,100,0,50,30,
1624,8/20/21,BOCO.5A,,MOVE,BOCO.5A,FORB,1,5,,100,100,50,30,
1625,8/20/21,BOCO.5A,,ARPU,BOCO.5A,GRASS,1,2,,100,100,50,30,
1626,8/20/21,BOCO.5A,,BOAR,BOCO.5A,GRASS,1,3,,100,0,50,30,
1627,8/20/21,BOCO.5A,,HETEROPOGON,BOCO.5A,GRASS,2,2,,0,0,50,30,
930,8/30/21,BOCO.6B,,BOCO,BOCO.6B,FORB,3,2,,50,50,30,60,
931,8/30/21,BOCO.6B,,URAR,BOCO.6B,GRASS,6,4,,100,100,30,60,
932,8/30/21,BOCO.6B,,AMPA,BOCO.6B,FORB,10,12,,100,100,30,60,
933,8/30/21,BOCO.6B,,ERLE,BOCO.6B,GRASS,20,7,,100,100,30,60,
934,8/30/21,BOCO.6B,,SAIB,BOCO.6B,FORB,3,2,,100,0,30,60,
935,8/30/21,BOCO.6B,,SIDA,BOCO.6B,FORB,2,1,,0,0,30,60,
936,8/30/21,BOCO.6B,,MOVE,BOCO.6B,FORB,15,20,,0,100,30,60,
937,8/30/21,BOCO.6B,,CHFR,BOCO.6B,FORB,2,3,,100,0,30,60,
1598,8/20/21,BOCO.885,,HETEROPOGON,BOCO.885,GRASS,6,2,,100,0,70,10,
1599,8/20/21,BOCO.885,,BOCO,BOCO.885,FORB,8,3,,100,100,70,10,
1600,8/20/21,BOCO.885,,MOVE,BOCO.885,FORB,3,5,,60,100,70,10,
1601,8/20/21,BOCO.885,,BUFFEL LIKE,BOCO.885,GRASS,3,2,,50,0,70,10,
1602,8/20/21,BOCO.885,,URAR,BOCO.885,GRASS,2,2,,100,100,70,10,
1603,8/20/21,BOCO.885,,MATA,BOCO.885,FORB,3,1,,100,0,70,10,
1604,8/20/21,BOCO.885,,BOAR,BOCO.885,GRASS,1,2,,100,100,70,10,
1605,8/20/21,BOCO.885,,KAGR,BOCO.885,FORB,8,1,,0,100,70,10,
1606,8/20/21,BOCO.885,,CURLY,BOCO.885,GRASS,2,1,,100,100,70,10,
1607,8/20/21,BOCO.885,,BOGR,BOCO.885,GRASS,2,2,,100,100,70,10,
1608,8/20/21,BOCO.885,,SIDA,BOCO.885,FORB,2,10,,0,0,70,10,
1609,8/20/21,BOCO.885,,UNK OPP LEAF WHITE FL HEAD,BOCO.885,FORB,1,1,,100,0,70,10,
1610,8/20/21,BOCO.885,,EVAZ,BOCO.885,FORB,1,2,,50,0,70,10,
1611,8/20/21,BOCO.885,,POUM,BOCO.885,FORB,1,1,,0,100,70,10,
1612,8/20/21,BOCO.885,,PO SHRUBBY,BOCO.885,FORB,1,2,,50,50,70,10,
1613,8/20/21,BOCO.885,,FAME,BOCO.885,FORB,3,2,,0,0,70,10,
1614,8/20/21,BOCO.885,,ARPU,BOCO.885,GRASS,1,1,,100,0,70,10,
922,8/30/21,BOCO.989A,,AMPA,BOCO.989A,FORB,40,27,,100,100,50,40,
923,8/30/21,BOCO.989A,,BOCO,BOCO.989A,FORB,15,12,,30,20,50,40,
924,8/30/21,BOCO.989A,,ERLE,BOCO.989A,GRASS,3,3,,100,100,50,40,
925,8/30/21,BOCO.989A,,BOAR,BOCO.989A,GRASS,5,15,,0,100,50,40,
926,8/30/21,BOCO.989A,,POOL,BOCO.989A,FORB,2,2,,0,0,50,40,
927,8/30/21,BOCO.989A,,TILA,BOCO.989A,FORB,2,2,,100,100,50,40,
928,8/30/21,BOCO.989A,,SAIB,BOCO.989A,FORB,2,1,,100,0,50,40,
929,8/30/21,BOCO.989A,,MOVE,BOCO.989A,FORB,8,25,,0,100,50,40,
1748,8/30/21,BOCO.989B,,AMPA,BOCO.989B,FORB,40,27,,100,100,50,40,same comp as BOCO989A
1749,8/30/21,BOCO.989B,,BOAR,BOCO.989B,GRASS,5,15,,0,100,50,40,same comp as BOCO989A
1750,8/30/21,BOCO.989B,,BOCO,BOCO.989B,FORB,15,14,,30,20,50,40,same comp as BOCO989A
1751,8/30/21,BOCO.989B,,ERLE,BOCO.989B,GRASS,3,3,,100,100,50,40,same comp as BOCO989A
1752,8/30/21,BOCO.989B,,MOVE,BOCO.989B,FORB,8,25,,0,100,50,40,same comp as BOCO989A
1753,8/30/21,BOCO.989B,,POOL,BOCO.989B,FORB,2,2,,0,0,50,40,same comp as BOCO989A
1754,8/30/21,BOCO.989B,,SAIB,BOCO.989B,FORB,2,1,,100,0,50,40,same comp as BOCO989A
1755,8/30/21,BOCO.989B,,TILA,BOCO.989B,FORB,2,2,,100,100,50,40,same comp as BOCO989A
1756,8/30/21,BOCO.989C,,AMPA,BOCO.989C,FORB,40,27,,100,100,50,40,same comp as BOCO989A
1757,8/30/21,BOCO.989C,,BOAR,BOCO.989C,GRASS,5,15,,0,100,50,40,same comp as BOCO989A
1758,8/30/21,BOCO.989C,,BOCO,BOCO.989C,FORB,15,14,,30,20,50,40,same comp as BOCO989A
1759,8/30/21,BOCO.989C,,ERLE,BOCO.989C,GRASS,3,3,,100,100,50,40,same comp as BOCO989A
1760,8/30/21,BOCO.989C,,MOVE,BOCO.989C,FORB,8,25,,0,100,50,40,same comp as BOCO989A
1761,8/30/21,BOCO.989C,,POOL,BOCO.989C,FORB,2,2,,0,0,50,40,same comp as BOCO989A
1762,8/30/21,BOCO.989C,,SAIB,BOCO.989C,FORB,2,1,,100,0,50,40,same comp as BOCO989A
1763,8/30/21,BOCO.989C,,TILA,BOCO.989C,FORB,2,2,,100,100,50,40,same comp as BOCO989A
984,8/31/21,BOCO.9A,,BOCO,BOCO.9A,FORB,3,2,,100,100,99,0.5,
985,8/31/21,BOCO.9A,,SIDA,BOCO.9A,FORB,1,1,,0,0,99,0.5,
986,8/31/21,BOCO.9A,,BOAR,BOCO.9A,GRASS,0.5,3,,100,100,99,0.5,
987,8/31/21,BOCO.9A,,POOL,BOCO.9A,FORB,1,3,,0,100,99,0.5,
